,0,1,2,3,4,5
152,152,6137,316.6346,112.2783,72.0967,88.3961
153,153,5529,291.5219,93.5075,78.3344,83.9032
154,154,5446,287196,94.7393,74.6803,83271
155,155,3567,325.9188,87.7573,61.3064,67.3917
156,156,961,114.9117,36.5504,33.8685,34.9798
157,157,12187,442.4802,146.5051,110.0996,124.5671
158,158,7188,348.4508,112.9879,87.1733,95.6663
159,159,9047,364.9777,118.8642,97.8636,107.3266
160,160,724,97.6985,30.9445,29.9933,30.3616
161,1,12101458,52373.5819,4937.4105,3664.0707,3925.3095
162,2,8214,356.5341,121992,87493,102.2663
163,3,1117,123.8406,42.1457,33.9897,37.7122
164,4,6113,316.9949,106.2408,76.1602,88.2231
165,5,6946,326.7767,103.8294,88.3395,94.0421
166,6,10448,389.8478,121.9876,110.1572,115.3378
167,7,3055,209.4386,72.7885,53.8323,62.3678
168,8,12126,490.6346,190.4691,85.6242,124255
169,9,2833,203.9239,68.4248,53985,60059
170,10,2597,191.5391,61.1579,54.8832,57.5031
171,11,16645,626.6001,238.3158,99.8518,145.5784
172,12,18838,636.86,226.3881,111486,154.8718
173,13,7379,352.9188,114979,86.8255,96929
174,14,2968,206.5097,66.1241,57.9857,61.4734
175,15,4409,259.1371,93.9437,60.6717,74.9247
176,16,2615,193.8823,63.0141,53.7816,57702
177,17,1942,182.8112,71.0867,35.9146,49.7256
178,18,8696,411.4214,140.6775,82.0167,105224
179,19,4722,269.9239,90.4641,67.8592,77.5386
180,20,7384,338.9361,101.0209,95.2809,96.9619
181,21,1602,151.1543,51.1607,40.2372,45.1634
182,22,12747,521.3869,199.6322,87.1239,127397
183,23,7031,368.7351,138351,68.4371,94.6158
184,24,19742,594.8427,198.7244,129.4666,158.5443
185,25,763,101.4558,31346,31.2741,31.1686
186,26,2950,211.2965,71527,52.9967,61.2867
187,27,11507,454.2914,162.3233,94127,121042
188,28,724,111.2904,40.3019,24.0401,30.3616
189,29,10658,421.2031,136571,100.6014,116.4911
190,30,2573,210.3675,72.9853,47.6947,57.2367
191,31,6898,336528,119.6518,75.3428,93.7166
192,32,6937,325.0782,112.1139,79.3358,93.9812
193,33,11094,409.5219,123.1783,116.7495,118.85
194,34,2969,221397,87.7408,43.9145,61.4837
195,35,3389,243.3381,90.4725,51.0589,65.6887
196,36,31264,1071.9037,271.2798,216.0125,199.5158
197,37,5306,288.7939,94.7748,73.9682,82.1937
198,38,1582,154.1249,48.0913,43132,44.8806
199,39,7125,330.4335,104.2339,88.2967,95.2462
200,40,19071,772.9848,237.5363,140.9144,155.8267
201,41,2872,208.9533,75.4965,48.8145,60471
202,42,4829,278.8944,89.3399,72.6795,78.4122
203,43,1512,143.8406,45.7674,42.4596,43.8764
204,44,3120,210.1076,72959,55.0054,63.0278
205,45,631,94.6274,33295,24.7711,28.3446
206,46,4747,284.5929,99.5269,63.5318,77.7436
207,47,5478,288.7523,89.5395,80.3297,83.5153
208,48,13404,657.2275,196.3198,100.2708,130.6388
209,49,93,44.2843,19.8551,6783,10.8817
210,50,11572,432.0315,150.7497,99.6608,121.3834
211,51,357,74.7696,25.7032,19.4331,21.3201
212,52,2020,166267,56.9026,45.4728,50.7143
213,53,1715,154.2254,49.1996,44.9624,46.7291
214,54,4996,309.4975,128.6591,51.6129,79.7565
215,55,2226,190.3087,66.1082,44.1363,53.2375
216,56,6450,356.8356,129.2211,66.7923,90.6223
217,57,20940,796791,207.0532,166.5284,163.2839
218,58,7076,355.7645,128.5299,74.3403,94.9181
219,59,8020,362.6934,118.1673,91.7246,101.0514
220,60,6926,333.4802,120.5653,75.3902,93.9066
221,61,3001,217.6812,67.3984,60.6565,61.8142
222,62,3344,223.6812,70.6432,63.0825,65.2512
223,63,3086,211.6396,67.4354,59.7859,62.6835
